Type,Address,Value
W,0x1000,0
R,0x1000,
R,0x1000,
W,0x1000,169
R,0x1004,
R,0x101c,
W,0x1000,7209
R,0x1008,
R,0x1038,
W,0x1000,16044
R,0x100c,
R,0x1054,
W,0x1000,16854
R,0x1010,
R,0x1070,
W,0x1000,17222
R,0x1014,
R,0x108c,
W,0x1000,21422
R,0x1018,
R,0x10a8,
W,0x1000,30346
W,0x1004,0
R,0x1000,
R,0x1004,
W,0x1004,1040
R,0x1004,
R,0x1020,
W,0x1004,7520
R,0x1008,
R,0x103c,
W,0x1004,14960
R,0x100c,
R,0x1058,
W,0x1004,23510
R,0x1010,
R,0x1074,
W,0x1004,25810
R,0x1014,
R,0x1090,
W,0x1004,26370
R,0x1018,
R,0x10ac,
W,0x1004,27534
W,0x1008,0
R,0x1000,
R,0x1008,
W,0x1008,1209
R,0x1004,
R,0x1024,
W,0x1008,2329
R,0x1008,
R,0x1040,
W,0x1008,10327
R,0x100c,
R,0x105c,
W,0x1008,11047
R,0x1010,
R,0x1078,
W,0x1008,13255
R,0x1014,
R,0x1094,
W,0x1008,13815
R,0x1018,
R,0x10b0,
W,0x1008,20411
W,0x100c,0
R,0x1000,
R,0x100c,
W,0x100c,1170
R,0x1004,
R,0x1028,
W,0x100c,3010
R,0x1008,
R,0x1044,
W,0x100c,7939
R,0x100c,
R,0x1060,
W,0x100c,11089
R,0x1010,
R,0x107c,
W,0x100c,11181
R,0x1014,
R,0x1098,
W,0x100c,14261
R,0x1018,
R,0x10b4,
W,0x100c,23864
W,0x1010,0
R,0x1000,
R,0x1010,
W,0x1010,598
R,0x1004,
R,0x102c,
W,0x1010,8518
R,0x1008,
R,0x1048,
W,0x1010,15307
R,0x100c,
R,0x1064,
W,0x1010,19717
R,0x1010,
R,0x1080,
W,0x1010,23029
R,0x1014,
R,0x109c,
W,0x1010,24877
R,0x1018,
R,0x10b8,
W,0x1010,34383
W,0x1014,0
R,0x1000,
R,0x1014,
W,0x1014,728
R,0x1004,
R,0x1030,
W,0x1014,8008
R,0x1008,
R,0x104c,
W,0x1014,11542
R,0x100c,
R,0x1068,
W,0x1014,18202
R,0x1010,
R,0x1084,
W,0x1014,22618
R,0x1014,
R,0x10a0,
W,0x1014,24802
R,0x1018,
R,0x10bc,
W,0x1014,33920
W,0x1018,0
R,0x1000,
R,0x1018,
W,0x1018,1261
R,0x1004,
R,0x1034,
W,0x1018,1901
R,0x1008,
R,0x1050,
W,0x1018,10550
R,0x100c,
R,0x106c,
W,0x1018,16850
R,0x1010,
R,0x1088,
W,0x1018,17632
R,0x1014,
R,0x10a4,
W,0x1018,19704
R,0x1018,
R,0x10c0,
W,0x1018,23681
W,0x101c,0
R,0x101c,
R,0x1000,
W,0x101c,1144
R,0x1020,
R,0x101c,
W,0x101c,8272
R,0x1024,
R,0x1038,
W,0x101c,9602
R,0x1028,
R,0x1054,
W,0x101c,9809
R,0x102c,
R,0x1070,
W,0x101c,10601
R,0x1030,
R,0x108c,
W,0x101c,17426
R,0x1034,
R,0x10a8,
W,0x101c,18162
W,0x1020,0
R,0x101c,
R,0x1004,
W,0x1020,7040
R,0x1020,
R,0x1020,
W,0x1020,13601
R,0x1024,
R,0x103c,
W,0x1020,14721
R,0x1028,
R,0x1058,
W,0x1020,16906
R,0x102c,
R,0x1074,
W,0x1020,21856
R,0x1030,
R,0x1090,
W,0x1020,22766
R,0x1034,
R,0x10ac,
W,0x1020,22862
W,0x1024,0
R,0x101c,
R,0x1008,
W,0x1024,8184
R,0x1020,
R,0x1024,
W,0x1024,9318
R,0x1024,
R,0x1040,
W,0x1024,10522
R,0x1028,
R,0x105c,
W,0x1024,10706
R,0x102c,
R,0x1078,
W,0x1024,15458
R,0x1030,
R,0x1094,
W,0x1024,16368
R,0x1034,
R,0x10b0,
W,0x1024,16912
W,0x1028,0
R,0x101c,
R,0x100c,
W,0x1028,7920
R,0x1020,
R,0x1028,
W,0x1028,9783
R,0x1024,
R,0x1044,
W,0x1028,10525
R,0x1028,
R,0x1060,
W,0x1028,11330
R,0x102c,
R,0x107c,
W,0x1028,11528
R,0x1030,
R,0x1098,
W,0x1028,16533
R,0x1034,
R,0x10b4,
W,0x1028,17325
W,0x102c,0
R,0x101c,
R,0x1010,
W,0x102c,4048
R,0x1020,
R,0x102c,
W,0x102c,12067
R,0x1024,
R,0x1048,
W,0x102c,13089
R,0x1028,
R,0x1064,
W,0x102c,14216
R,0x102c,
R,0x1080,
W,0x102c,21344
R,0x1030,
R,0x109c,
W,0x102c,24347
R,0x1034,
R,0x10b8,
W,0x102c,25131
W,0x1030,0
R,0x101c,
R,0x1014,
W,0x1030,4928
R,0x1020,
R,0x1030,
W,0x1030,12299
R,0x1024,
R,0x104c,
W,0x1030,12831
R,0x1028,
R,0x1068,
W,0x1030,14533
R,0x102c,
R,0x1084,
W,0x1030,24037
R,0x1030,
R,0x10a0,
W,0x1030,27586
R,0x1034,
R,0x10bc,
W,0x1030,28338
W,0x1034,0
R,0x101c,
R,0x1018,
W,0x1034,8536
R,0x1020,
R,0x1034,
W,0x1034,9184
R,0x1024,
R,0x1050,
W,0x1034,10486
R,0x1028,
R,0x106c,
W,0x1034,12096
R,0x102c,
R,0x1088,
W,0x1034,13779
R,0x1030,
R,0x10a4,
W,0x1034,17146
R,0x1034,
R,0x10c0,
W,0x1034,17474
W,0x1038,0
R,0x1038,
R,0x1000,
W,0x1038,1235
R,0x103c,
R,0x101c,
W,0x1038,8275
R,0x1040,
R,0x1038,
W,0x1038,16445
R,0x1044,
R,0x1054,
W,0x1038,16922
R,0x1048,
R,0x1070,
W,0x1038,17506
R,0x104c,
R,0x108c,
W,0x1038,20356
R,0x1050,
R,0x10a8,
W,0x1038,28912
W,0x103c,0
R,0x1038,
R,0x1004,
W,0x103c,7600
R,0x103c,
R,0x1020,
W,0x103c,14080
R,0x1040,
R,0x103c,
W,0x103c,20960
R,0x1044,
R,0x1058,
W,0x103c,25995
R,0x1048,
R,0x1074,
W,0x103c,29645
R,0x104c,
R,0x1090,
W,0x103c,30025
R,0x1050,
R,0x10ac,
W,0x103c,31141
W,0x1040,0
R,0x1038,
R,0x1008,
W,0x1040,8835
R,0x103c,
R,0x1024,
W,0x1040,9955
R,0x1040,
R,0x1040,
W,0x1040,17351
R,0x1044,
R,0x105c,
W,0x1040,17775
R,0x1048,
R,0x1078,
W,0x1040,21279
R,0x104c,
R,0x1094,
W,0x1040,21659
R,0x1050,
R,0x10b0,
W,0x1040,27983
W,0x1044,0
R,0x1038,
R,0x100c,
W,0x1044,8550
R,0x103c,
R,0x1028,
W,0x1044,10390
R,0x1040,
R,0x1044,
W,0x1044,14948
R,0x1044,
R,0x1060,
W,0x1044,16803
R,0x1048,
R,0x107c,
W,0x1044,16949
R,0x104c,
R,0x1098,
W,0x1044,19039
R,0x1050,
R,0x10b4,
W,0x1044,28246
W,0x1048,0
R,0x1038,
R,0x1010,
W,0x1048,4370
R,0x103c,
R,0x102c,
W,0x1048,12290
R,0x1040,
R,0x1048,
W,0x1048,18568
R,0x1044,
R,0x1064,
W,0x1048,21165
R,0x1048,
R,0x1080,
W,0x1048,26421
R,0x104c,
R,0x109c,
W,0x1048,27675
R,0x1050,
R,0x10b8,
W,0x1048,36789
W,0x104c,0
R,0x1038,
R,0x1014,
W,0x104c,5320
R,0x103c,
R,0x1030,
W,0x104c,12600
R,0x1040,
R,0x104c,
W,0x104c,15868
R,0x1044,
R,0x1068,
W,0x104c,19790
R,0x1048,
R,0x1084,
W,0x104c,26798
R,0x104c,
R,0x10a0,
W,0x104c,28280
R,0x1050,
R,0x10bc,
W,0x104c,37022
W,0x1050,0
R,0x1038,
R,0x1018,
W,0x1050,9215
R,0x103c,
R,0x1034,
W,0x1050,9855
R,0x1040,
R,0x1050,
W,0x1050,17853
R,0x1044,
R,0x106c,
W,0x1050,21563
R,0x1048,
R,0x1088,
W,0x1050,22804
R,0x104c,
R,0x10a4,
W,0x1050,24210
R,0x1050,
R,0x10c0,
W,0x1050,28023
W,0x1054,0
R,0x1054,
R,0x1000,
W,0x1054,117
R,0x1058,
R,0x101c,
W,0x1054,8477
R,0x105c,
R,0x1038,
W,0x1054,9237
R,0x1060,
R,0x1054,
W,0x1054,9552
R,0x1064,
R,0x1070,
W,0x1054,9944
R,0x1068,
R,0x108c,
W,0x1054,15494
R,0x106c,
R,0x10a8,
W,0x1054,21934
W,0x1058,0
R,0x1054,
R,0x1004,
W,0x1058,720
R,0x1058,
R,0x1020,
W,0x1058,8415
R,0x105c,
R,0x103c,
W,0x1058,9055
R,0x1060,
R,0x1058,
W,0x1058,12380
R,0x1064,
R,0x1074,
W,0x1058,14830
R,0x1068,
R,0x1090,
W,0x1058,15570
R,0x106c,
R,0x10ac,
W,0x1058,16410
W,0x105c,0
R,0x1054,
R,0x1008,
W,0x105c,837
R,0x1058,
R,0x1024,
W,0x105c,2167
R,0x105c,
R,0x1040,
W,0x105c,2855
R,0x1060,
R,0x105c,
W,0x105c,3135
R,0x1064,
R,0x1078,
W,0x105c,5487
R,0x1068,
R,0x1094,
W,0x105c,6227
R,0x106c,
R,0x10b0,
W,0x105c,10987
W,0x1060,0
R,0x1054,
R,0x100c,
W,0x1060,810
R,0x1058,
R,0x1028,
W,0x1060,2995
R,0x105c,
R,0x1044,
W,0x1060,3419
R,0x1060,
R,0x1060,
W,0x1060,4644
R,0x1064,
R,0x107c,
W,0x1060,4742
R,0x1068,
R,0x1098,
W,0x1060,8812
R,0x106c,
R,0x10b4,
W,0x1060,15742
W,0x1064,0
R,0x1054,
R,0x1010,
W,0x1064,414
R,0x1058,
R,0x102c,
W,0x1064,9819
R,0x105c,
R,0x1048,
W,0x1064,10403
R,0x1060,
R,0x1064,
W,0x1064,12118
R,0x1064,
R,0x1080,
W,0x1064,15646
R,0x1068,
R,0x109c,
W,0x1064,18088
R,0x106c,
R,0x10b8,
W,0x1064,24948
W,0x1068,0
R,0x1054,
R,0x1014,
W,0x1068,504
R,0x1058,
R,0x1030,
W,0x1068,9149
R,0x105c,
R,0x104c,
W,0x1068,9453
R,0x1060,
R,0x1068,
W,0x1068,12043
R,0x1064,
R,0x1084,
W,0x1068,16747
R,0x1068,
R,0x10a0,
W,0x1068,19633
R,0x106c,
R,0x10bc,
W,0x1068,26213
W,0x106c,0
R,0x1054,
R,0x1018,
W,0x106c,873
R,0x1058,
R,0x1034,
W,0x106c,1633
R,0x105c,
R,0x1050,
W,0x106c,2377
R,0x1060,
R,0x106c,
W,0x106c,4827
R,0x1064,
R,0x1088,
W,0x106c,5660
R,0x1068,
R,0x10a4,
W,0x106c,8398
R,0x106c,
R,0x10c0,
W,0x106c,11268
W,0x1070,0
R,0x1070,
R,0x1000,
W,0x1070,104
R,0x1074,
R,0x101c,
W,0x1070,4504
R,0x1078,
R,0x1038,
W,0x1070,9064
R,0x107c,
R,0x1054,
W,0x1070,9082
R,0x1080,
R,0x1070,
W,0x1070,9658
R,0x1084,
R,0x108c,
W,0x1070,16858
R,0x1088,
R,0x10a8,
W,0x1070,18422
W,0x1074,0
R,0x1070,
R,0x1004,
W,0x1074,640
R,0x1074,
R,0x1020,
W,0x1074,4690
R,0x1078,
R,0x103c,
W,0x1074,8530
R,0x107c,
R,0x1058,
W,0x1074,8720
R,0x1080,
R,0x1074,
W,0x1074,12320
R,0x1084,
R,0x1090,
W,0x1074,13280
R,0x1088,
R,0x10ac,
W,0x1074,13484
W,0x1078,0
R,0x1070,
